"id","year","EMPL","AV","STAF","TURN","TOAS","nacerev1primarycode","year_inc","industry_code","industry","industry_factor"
"PL4998",1999,3052,9578,13928,37120,74307,2960,"1923",29,1,"manufacturing"
"PL4998",2000,2305,12647,12047,40747,79488,2960,"1923",29,1,"manufacturing"
"PL5004",1999,166,614,1238,2675,2980,2222,"1992",22,1,"manufacturing"
"PL5006",2000,200,2299,1545,5000,4259,2956,"1991",29,1,"manufacturing"
"PL5006",2001,200,1785,1435,4400,4092,2956,"1991",29,1,"manufacturing"
"PL5006",1999,223,2657,1498,5597,4332,2956,"1991",29,1,"manufacturing"
"PL5018",1995,477,3368,2368,20851,11099,4525,"1912",45,1,"manufacturing"
"PL5018",1997,531,3936,2477,24298,10292,4525,"1912",45,1,"manufacturing"
"PL5018",1996,544,4467,3558,22215,9967,4525,"1912",45,1,"manufacturing"
"PL5018",1998,286,4986,2268,37874,19652,4525,"1912",45,1,"manufacturing"
"PL5019",1999,760,9116,6423,24597,10965,2211,"1993",22,1,"manufacturing"
"PL5019",2000,803,10989,7750,27409,11162,2211,"1993",22,1,"manufacturing"
"PL5019",1998,656,4137,3732,15671,5090,2211,"1993",22,1,"manufacturing"
"PL5062",1996,800,254,3461,30336,24497,2513,"1945",25,1,"manufacturing"
"PL5064",1999,121,1560,723,4995,8031,2951,"1782",29,1,"manufacturing"
"PL5064",1997,210,2556,2374,17359,13672,2951,"1782",29,1,"manufacturing"
"PL5064",2000,106,2302,725,4944,5203,2951,"1782",29,1,"manufacturing"
"PL5094",1998,98,777,331,41507,4737,2522,"1988",25,1,"manufacturing"
"PL5094",1999,111,1065,527,53851,7733,2522,"1988",25,1,"manufacturing"
"PL5108",1999,31,238,358,713,2013,4521,"1990",45,1,"manufacturing"
"PL5127",1998,966,3392,3475,15887,18915,1740,"1907",17,1,"manufacturing"
"PL5127",1997,1253,4870,3294,17219,15069,1740,"1907",17,1,"manufacturing"
"PL5127",1999,726,2376,2839,9794,12982,1740,"1907",17,1,"manufacturing"
"PL5134",1999,90,1541,26,719,6671,7011,"1990",70,2,"services"
"PL5134",1997,97,2958,505,23958,8116,7011,"1990",70,2,"services"
"PL5143",2001,260,804,1254,3247,1674,7420,"1991",74,2,"services"
"PL5143",1997,422,2220,1949,5970,2599,7420,"1991",74,2,"services"
"PL5143",2000,260,1875,1457,3760,2257,7420,"1991",74,2,"services"
"PL5150",1997,217,9860,1925,169062,41360,5146,"1989",51,2,"services"
"PL5159",1999,2180,13182,9574,34104,16928,3320,"1897",33,1,"manufacturing"
"PL5159",2000,1501,11178,7929,27978,17691,3320,"1897",33,1,"manufacturing"
"PL5159",1998,2186,12577,8269,35796,16586,3320,"1897",33,1,"manufacturing"
"PL5179",1999,314,1984,1375,11241,5982,5212,"1991",52,2,"services"
"PL5179",1998,363,1807,1349,14150,6954,5212,"1991",52,2,"services"
"PL5179",2000,154,539,1302,6810,2390,5212,"1991",52,2,"services"
"PL5181",2000,98,841,642,8661,929,9271,"1990",92,2,"services"
"PL5182",1999,96,3808,2009,25112,23720,5170,"1951",51,2,"services"
"PL5183",1998,978,4489,3030,12132,9208,2621,"1852",26,1,"manufacturing"
"PL5183",2001,501,2750,2080,6914,3967,2621,"1852",26,1,"manufacturing"
"PL5183",1997,1070,4240,2746,11613,9381,2621,"1852",26,1,"manufacturing"
"PL5183",1999,892,3085,3212,9332,6801,2621,"1852",26,1,"manufacturing"
"PL5183",2000,501,2775,2698,8100,4775,2621,"1852",26,1,"manufacturing"
"PL5187",1998,56,34,134,1804,313,5170,"1991",51,2,"services"
"PL5187",1999,88,192,193,2570,784,5170,"1991",51,2,"services"
"PL5191",1999,536,2079,3104,10207,7909,4521,"1951",45,1,"manufacturing"
"PL5191",1998,636,3291,2940,15052,6403,4521,"1951",45,1,"manufacturing"
"PL5191",2000,454,3640,3079,15925,10796,4521,"1951",45,1,"manufacturing"
"PL5194",1997,102,438,348,8848,2962,5166,"1945",51,2,"services"
"PL5194",2000,63,102,264,2320,1610,5166,"1945",51,2,"services"
"PL5195",1999,20,4171,302,4510,15855,6521,"1992",65,2,"services"
"PL5195",1998,44,4119,308,4837,13040,6521,"1992",65,2,"services"
"PL5195",1997,18,3187,225,3859,7816,6521,"1992",65,2,"services"
"PL5195",2000,16,4838,282,3520,22848,6521,"1992",65,2,"services"
"PL5196",1999,294,2539,1702,13551,6061,4521,"1948",45,1,"manufacturing"
"PL5197",1997,491,2784,1758,10422,3824,2020,"",20,1,"manufacturing"
"PL5197",1999,501,3358,2546,13356,4866,2020,"",20,1,"manufacturing"
"PL5197",2000,488,3191,2570,13672,5483,2020,"",20,1,"manufacturing"
"PL5197",1998,509,3320,2257,13977,4955,2020,"",20,1,"manufacturing"
"PL5197",2001,488,3272,2609,13792,6597,2020,"",20,1,"manufacturing"
"PL5198",2000,23,4698,920,26507,4147,5155,"1990",51,2,"services"
"PL5198",1999,78,3170,1996,25030,8936,5155,"1990",51,2,"services"
"PL5198",1998,79,4354,1474,27654,6841,5155,"1990",51,2,"services"
"PL5199",2000,255,1315,949,3670,2369,2953,"1958",29,1,"manufacturing"
"PL5199",2001,255,1013,1018,3657,2004,2953,"1958",29,1,"manufacturing"
"PL5199",1999,305,1303,1136,3442,2409,2953,"1958",29,1,"manufacturing"
"PL5204",1999,100,2281,1037,5543,3655,4523,"1991",45,1,"manufacturing"
"PL5204",2000,98,1609,1089,4956,3106,4523,"1991",45,1,"manufacturing"
"PL5205",1998,278,3344,1985,10344,11764,4030,"1975",40,1,"manufacturing"
"PL5205",2001,201,3279,1965,9342,12034,4030,"1975",40,1,"manufacturing"
