year	id	EMPL	AV	STAF	TURN	TOAS
1993	PL5929			780	11937	3923
1993	PL5930		7979	4900	10229	8092
1993	PL5972				24528	
1993	PL5985			781	9933	5026
1993	PL6004			10789	53634	78259
1993	PL6067		2329	1175	6775	3773
1993	PL6077				12578	2884
1993	PL6088			698	3679	6230
1993	PL6092				5940	2429
1993	PL6107			913	9438	2166
1993	PL6108			1343	10320	12001
1993	PL6123				11775	6901
1993	PL6128		5922	3101	10930	7448
1993	PL6134				7937	1965
1993	PL6142				9521	4281
1993	PL6147				12866	3099
1993	PL6176				9715	8943
1993	PL6180		3844	2692	8840	5522
1993	PL6186			719	7108	4691
1993	PL6187				23146	7899
1993	PL6203			334	4993	1214
1993	PL6208		15263	2649	23419	7968
1993	PL6212		3118	1915	5995	2620
1993	PL6223				4740	24695
1993	PL6236				16890	
1993	PL6246				10566	
1993	PL6247			1101	6112	5002
1993	PL6251		2090	1500	6334	5628
1993	PL6256			1348	8561	3199
1993	PL6260		5037	1358	12440	5801
1993	PL6271			623	5065	13356
1993	PL6298				15761	
1993	PL6323			207	8286	1801
1993	PL6358				5890	2396
1993	PL6360			3684	16935	12827
1993	PL6386				28514	
1993	PL6390			3170	24058	70063
1993	PL6403				12056	7188
1993	PL6423		4617	2202	10736	7107
1993	PL6425				4883	1479
1993	PL6426			5941	15290	6405
1993	PL6427		1894	1384	7811	4057
1993	PL6429		7356	3058	40715	107913
1993	PL6436		13359	758	13363	28666
1993	PL6441		7076	3653	40769	39089
1993	PL6442				4101	6844
1993	PL6455			2163	22017	24962
1993	PL6458			3267	39115	64285
1993	PL6462				5668	7569
1993	PL6484		1521	1320	1896	1160
1993	PL6489			1987	11268	7522
1993	PL6490		3334	1774	6801	8366
1993	PL6491		2742	1538	8906	2653
1993	PL6492			918	5604	9972
1993	PL6495			1565	41951	50685
1993	PL6500		5556	2892	10024	7103
1993	PL6501			1452	11119	34137
1993	PL6504				210	653
1993	PL6513			1035	5640	13424
1993	PL6517				7781	9265
1993	PL6528		851	664	10704	1190
1993	PL6530			2593	13799	9638
1993	PL6535				6470	6488
1993	PL6543				4728	2189
1993	PL6544				5261	1020
1993	PL6599				7884	5621
1993	PL6600			3088	10942	7096
1993	PL6608			682	12823	2066
1993	PL6622			3932	58827	85736
1993	PL6626			159453	252334	352218
1993	PL6627			5642	53214	133166
1993	PL6638		2869	1150	11769	8978
1993	PL6666				4732	11816
1993	PL6667				12890	10365
1993	PL6674		2948	1470	31579	6080
1993	PL6680		1303	884	13918	6388
1993	PL6684		1407	723	5134	1702
1993	PL6694				24605	9940
1993	PL6696				36836	69414
1993	PL6698		766	364	9647	1265
1993	PL6700			5368	50623	183233
1993	PL6705		682	238	6020	988
1993	PL6723				11718	3144
1993	PL6742		1773	1910	9306	2968
1993	PL6745			214	5993	2074
1993	PL6750			430	11915	1952
1993	PL6751		1708	648	10875	3860
1993	PL6754		1941	1627	4242	3125
1993	PL6756				13282	24955
1993	PL6760		196291	195237	393452	677575
1993	PL6761			1321	4872	1575
1993	PL6765			2500	4523	3617
1993	PL6777		3859	2661	6024	4933
1993	PL6786			398	10951	3015
1993	PL6800			4479	42809	76781
1993	PL6809		3527	3837	6077	5335
1993	PL6821				4572	6617
1993	PL6824			1280	87351	28296
1993	PL6857		637	228	24150	3304
1993	PL6885		1624	1095	19469	6908
1993	PL6913			3392	77186	95010
1993	PL6963			601	6599	1381
1993	PL6964		7772	5107	10427	16653
1993	PL6971				16318	11898
1993	PL7001			1058	3613	1269
1993	PL7012				1552	
1993	PL7028			309	49719	7902
1993	PL7036				2488	
1993	PL7039				17180	4133
1993	PL7078				23060	
1993	PL7087				14950	
1993	PL7089				77647	
1993	PL7122			464	2122	3295
1993	PL7131				14997	
1993	PL7139				32702	49582
1993	PL7153				36427	
1993	PL7166			2147	8956	12867
1993	PL7187			2378	10030	1585
1993	PL7287			9647	28137	55055
1993	PL7301			10010	53099	36572
1993	PL7310			15225	19770	31774
1993	PL7316				5994	3910
1993	PL7418			5503	20767	11474
1993	PL7711				39608	7502
1993	PL8016				76075	44639
1993	PL8070				17637	147247
1993	PL8114				30838	12272
1993	PL8411				18188	37719
1993	PL8459				15884	3702
1993	PL8460			3390	7116	8969
1993	PL8499				49171	
1993	PL8838				19148	39510
1993	PL8853				20202	
1993	PL8905				7709	3842
1993	PL9364			464	11442	3258
1994	PL0011		10424	3291	211485	9370
1994	PL0021		2459	2205	6522	9576
1994	PL0037		-1420	3211	25439	19953
1994	PL0041			442	19365	3526
1994	PL0051				924975	222501
1994	PL0074		4501	2164	79493	137273
1994	PL0079			2950	17223	19778
1994	PL0090			675	15606	4485
1994	PL0097				324383	731820
1994	PL0108				58149	57159
1994	PL0145		16711	11252	108377	55010
1994	PL0150				545573	
1994	PL0156				15091	14272
1994	PL0195		4434	2319	44911	18400
1994	PL0204		2171	1230	8111	2933
1994	PL0216				9370	
1994	PL0223				3584501	989883
1994	PL0227		3904	1443	13454	41582
1994	PL0230			1152	33118	39656
1994	PL0242				29516	
1994	PL0243				18102	18731
1994	PL0258			2197	16828	9044
1994	PL0259		22030	12681	109865	85604
1994	PL0264			893	4040	1192
1994	PL0271		1000	2899	38104	48100
1994	PL0272				18998	12638
1994	PL0277				51038	39840
1994	PL0278				10015	
1994	PL0279				5743	2186
1994	PL0280				85223	83937
1994	PL0289				279704	
1994	PL0302					21446
1994	PL0310			1084	22432	69416
1994	PL0312				313437	110391
1994	PL0324				73466	73155
1994	PL0325				26059	6237
1994	PL0332				40948	41479
1994	PL0333		16136	9746	34963	30664
1994	PL0344		679	650	18699	18923
1994	PL0351				602957	179942
1994	PL0357		54819	23269	149169	98522
1994	PL0359			44523	325615	394039
1994	PL0362				11952	31596
1994	PL0383				53051	108200
1994	PL0385				10959	4688
1994	PL0392				28267	26305
1994	PL0399				42166	
1994	PL0410			4764	1025501	213602
1994	PL0419				23426	17696
1994	PL0428				74963	
1994	PL0432				19837	
1994	PL0438				34789	57148
1994	PL0440				7013	
1994	PL0444				60993	46091
1994	PL0447					328431
1994	PL0454				104057	
1994	PL0461		3081	1615	11002	17646
1994	PL0475				8776	6905
1994	PL0484				70990	
1994	PL0486		13983	3637	18906	8130
1994	PL0487		13101	1836	20270	13725
1994	PL0490					158959
1994	PL0493		6064	4139	11651	10715
1994	PL0495		1145	595	8526	4207
1994	PL0507			1628	19656	2618
1994	PL0509				15080	10134
1994	PL0514				8433	
1994	PL0520				25567	15842
1994	PL0525				38346	10476
1994	PL0542				5669	
1994	PL0543				122845	
1994	PL0552				33593	
1994	PL0553			20874	368351	342016
1994	PL0556				47243	52767
1994	PL0559		4324	1219	30176	24407
1994	PL0563			1046	4549	6838
1994	PL0585		3880	3275	12978	12382
1994	PL0586				21739	
1994	PL0587				3841829	
1994	PL0596			2296	13695	11258
1994	PL0608				4873	
1994	PL0612		10844	6789	28506	26822
1994	PL0620		26565	12246	102811	56233
1994	PL0632		10488	6741	26294	18366
1994	PL0634				24604	4964
1994	PL0643				2343	
1994	PL0660				121407	38583
1994	PL0678				21954	14495
1994	PL0689				4437	1205
1994	PL0691			167	7417	2176
1994	PL0693			3240	30055	27868
1994	PL0711				43010	
1994	PL0717			6105	27336	14132
1994	PL0724		5131	3141	60383	20089
1994	PL0729				39253	60315
1994	PL0746					5578
1994	PL0747				65367	
1994	PL0752		2201	700	10283	3933
1994	PL0769			3426	78241	98624
1994	PL0771				137697	
1994	PL0780			4411	14298	10905
1994	PL0788				7537	
1994	PL0791			6100	52156	40397
1994	PL0799				5788	
1994	PL0809			527	12932	3315
1994	PL0817				72396	42386
1994	PL0818				27970	
1994	PL0826				6439	2889
1994	PL0842				15497	
1994	PL0847				9933	
1994	PL0848				36858	23414
1994	PL0864			4227	121124	127410
1994	PL0881		56877	24509	213772	166568
1994	PL0885				26551	90586
1994	PL0888		22676	3623	38070	21331
1994	PL0913				77104	70972
1994	PL0916				17938	7203
1994	PL0936		1801	535	7391	3738
1994	PL0944			9232	65225	65922
1994	PL0951		9415	2875	20813	7135
1994	PL0952				11433	8035
1994	PL0961				22899	9316
1994	PL0980				4924	4130
1994	PL10011				12339	17514
1994	PL10039			666	22594	8063
1994	PL1008				17031	
1994	PL10098		32902	1033	48781	104201
1994	PL10118				9709	11696
1994	PL1016				133869	
1994	PL10181		7019	3750	21087	17104
1994	PL1020		6410	1089	59784	49150
1994	PL1026		9348	8358	20089	9081
1994	PL10329				7558	6294
1994	PL10420		799	384	1837	1128
1994	PL1045			2210	26048	18799
1994	PL10457				4800	
1994	PL1047		1256	464	22132	5065
1994	PL10499			1543	19157	15548
1994	PL10814				1270	666
1994	PL1101		29867	13543	97145	56714
1994	PL1102		7909	3891	20684	59430
1994	PL1108		6228	3656	12527	6278
1994	PL1113				415105	
1994	PL1120			5392	39943	112969
1994	PL1126				12062	16331
1994	PL1133			770	20940	3189
1994	PL1136			2535	13538	12367
1994	PL11374		10267	6895	22831	21726
1994	PL1149		3591	2319	21873	9365
1994	PL11522		2589	1468	9897	8246
1994	PL1153		3071	1983	7692	8457
1994	PL11651				42167	16381
1994	PL1171			385	4204	
1994	PL1179				10260	
1994	PL11852			22755	59778	128744
1994	PL1208				9984	1974
1994	PL1214				36248	24938
1994	PL1221				17522	
1994	PL1242		4122	2580	9635	7206
1994	PL1246			1423	3051	7860
1994	PL1281				45012	26656
1994	PL1285		3561	2406	6089	2758
1994	PL1290		2166	1644	7088	5974
1994	PL1308			12348	64881	41690
1994	PL1313		13241	4488	28741	28545
1994	PL1327				14190	11622
1994	PL1340		13587	9803	21102	39457
1994	PL1376		1466	1061	5219	13239
1994	PL1379				2811	
1994	PL1387					9504
1994	PL1408				6466	3098
1994	PL1436				9861	1522
1994	PL1452			952	12361	3414
1994	PL1463		187624	109808	991759	1022241
1994	PL1467				12450	8593
1994	PL1491				28111	
1994	PL1502		1876	1056	15288	2963
1994	PL1509		2328	3035	13158	11592
1994	PL1528				151467	117175
1994	PL1534			12534	83345	72899
1994	PL1566		29815	16361	98218	101933
1994	PL1574				6065	3671
1994	PL1577				97386	
1994	PL1588		19648	4094	41173	54435
1994	PL1593				297156	
1994	PL16006				3548	1366
1994	PL16008				16887	3635
1994	PL16013				2158	1627
1994	PL16021				14220	9388
1994	PL16030				9899	6399
1994	PL16035				2768	6882
1994	PL16046				6937	2743
1994	PL16069			325	17161	2061
1994	PL16071				4504	14482
1994	PL16079				4824	
1994	PL16083				4920	11833
1994	PL16086				1329	1045
1994	PL16087				15	1520
1994	PL16090			2386	35077	8713
1994	PL16091				6876	1062
1994	PL16092		989	646	11363	4091
1994	PL16093				5524	
1994	PL16099				2205	1768
1994	PL16115			658	4196	869
1994	PL16120			2896	5801	1951
1994	PL16132			5990	15045	2012
1994	PL1614			3012	19270	23922
1994	PL1615		8516	4920	18280	13165
1994	PL16151			2304	62491	9215
1994	PL16160			1430	7812	2084
1994	PL16167			1868	36260	13327
1994	PL16168			196	34234	2562
1994	PL16188				3943	
1994	PL1620		1190	716	5054	5881
1994	PL16212			2054	15647	32887
1994	PL16217				3942	
1994	PL16218				2941	
1994	PL16219				7864	
1994	PL16221				5626	1327
1994	PL16223				3436	5484
1994	PL16226				3746	1850
1994	PL16230				2908	1524
1994	PL16233				4448	1758
1994	PL16235			3758	11459	5554
1994	PL16236			444	21293	2479
1994	PL16238				8435	6402
1994	PL16240			3727	8940	3318
1994	PL16243		3216	2040	6502	2896
1994	PL16245				3250	
1994	PL16246				3083	1680
1994	PL16248		6301	4001	16286	9943
1994	PL16252				1795	
1994	PL16258				3323	1115
1994	PL16259				2490	
1994	PL16260				3280	
1994	PL16265		2648	1521	6198	3827
1994	PL16272				2134	
1994	PL16273			221	12013	1290
1994	PL16296				7435	2439
1994	PL16304					999
1994	PL16310				2998	
1994	PL16315				1012	546
1994	PL16321		1955	1020	13102	3438
1994	PL16325				6814	3198
1994	PL16326				3917	1532
1994	PL16330					2335
1994	PL16332				4716	878
1994	PL16342				8737	
1994	PL16343				6614	2978
1994	PL16349				4465	9591
1994	PL16358				3735	2143
1994	PL16359				48417	9548
1994	PL16361				8438	
1994	PL16362				3178	739
1994	PL16364				7618	3774
1994	PL16365				12	
1994	PL1637				8628	9485
1994	PL16370				2810	807
1994	PL16373				606	308
1994	PL16374				1659	502
1994	PL16375				17442	
1994	PL16376					7083
1994	PL16377				16219	7969
1994	PL16383				5471	4642
1994	PL16384				8808	1761
1994	PL16397				5025	
1994	PL16402				400	
1994	PL16408				1797	1308
1994	PL16411				1868	1866
1994	PL16417				7602	
1994	PL16418				2766	1651
1994	PL16423				5773	14474
1994	PL16425				1524	
1994	PL16431				3380	845
1994	PL16433				2516	917
1994	PL16435				3161	651
1994	PL16437				9612	55764
1994	PL16438		5031	3829	18213	9366
1994	PL16440				4623	357
1994	PL16441				9737	2713
1994	PL16442		11740	7350	22794	9509
1994	PL16460				4568	1240
1994	PL16467				8292	2872
1994	PL16475				2847	1528
1994	PL16476				11587	1380
1994	PL16481				3595	
1994	PL16483				6070	4435
1994	PL16506				6526	1890
1994	PL16511				3488	950
1994	PL16513				4646	3936
1994	PL16520			443	15588	2823
1994	PL16541			2000	47113	15879
1994	PL16542		457	97	13095	2993
1994	PL16543				19070	10788
1994	PL16602			3276	54584	13034
1994	PL16603			71	23732	3574
1994	PL16611				73856	4661
1994	PL16612				90262	1840
1994	PL16644			628	10647	3124
1994	PL16647			2513	9275	5080
1994	PL16665			226	23960	4449
1994	PL16695			9029	36137	71901
1994	PL16721				12226	23910
1994	PL1674			4949	35389	16806
1994	PL16787				12044	2970
1994	PL1679		4986	2819	13114	11898
1994	PL16799		3770	2118	12596	2853
1994	PL16804			1048	11074	5126
1994	PL16805			1318	12526	8554
1994	PL16830		1148	1153	6944	5775
1994	PL16840			6280	26164	17555
1994	PL16845				7332	2608
1994	PL16846				2974	4114
1994	PL16850				10240	6976
1994	PL16854			5690	90459	45933
1994	PL1686			4557	42423	40031
1994	PL16868				2032	
1994	PL16887		2539	1300	5436	4895
1994	PL16891				11404	18335
1994	PL16893			8541	108949	972845
1994	PL16895				1857	
1994	PL16896				6858	1545
1994	PL16902				2531	470
1994	PL16904		951	787	2550	1363
1994	PL16920				2414	2661
1994	PL16922			1239	4986	2328
1994	PL16923			1147	3535	4448
1994	PL16927				2296	
1994	PL16933				2330	879
1994	PL16934				4445	
1994	PL16941				4342	890
1994	PL16942			445	40605	2172
1994	PL16943				4000	3462
1994	PL16948		907	720	2391	1586
